"m.id","n.id"
"02-0775","01-0325"
"02-0716","01-0326"
"02-0842","01-0330"
"02-0879","01-0331"
"02-0879","01-0332"
"02-0512","01-0333"
"02-0672","01-0334"
"02-0879","01-0335"
"02-0655","01-0336"
"02-0655","01-0337"
"02-0696","01-0338"
"02-0809","01-0339"
"02-0879","01-0340"
"02-0706","01-0341"
"02-0665","01-0342"
"02-0879","01-0343"
"02-0666","01-0344"
"02-0841","01-0345"
"02-0841","01-0346"
"02-0782","01-0347"
"02-0809","01-0347"
"02-0782","01-0348"
"02-0809","01-0348"
"02-0695","01-0349"
"02-0741","01-0351"
"02-0685","01-0351"
"02-0879","01-0351"
"02-0789","01-0351"
"02-0716","01-0353"
"02-0741","01-0354"
"02-0879","01-0355"
"02-0841","01-0356"
"02-0879","01-0357"
"02-0841","01-0358"
"02-0789","01-0359"
"02-0741","01-0360"
"02-0741","01-0361"
"02-0879","01-0362"
"02-0828","01-0363"
"02-0782","01-0364"
"02-0809","01-0364"
"02-0673","01-0365"
"02-0841","01-0366"
"02-0666","01-0367"
"02-0841","01-0368"
"02-0841","01-0369"
"02-0841","01-0370"
"02-0655","01-0371"
"02-0879","01-0372"
"02-0879","01-0373"
"02-0841","01-0374"
"02-0716","01-0376"
"02-0737","01-0377"
"02-0879","01-0378"
"02-0879","01-0379"
"02-0655","01-0380"
"02-0741","01-0381"
"02-0741","01-0382"
"02-0716","01-0383"
"02-0791","01-0384"
"02-0879","01-0385"
"02-0716","01-0386"
"02-0067","01-0387"
"02-0716","01-0388"
"02-0758","01-0389"
"02-0716","01-0390"
"02-0737","01-0391"
"02-0809","01-0392"
"02-0782","01-0392"
"02-0741","01-0393"
"02-0841","01-0394"
"02-0732","01-0395"
"02-0732","01-0396"
"02-0841","01-0397"
"02-0841","01-0398"
"02-0655","01-0399"
"02-0793","01-0400"
"02-0746","01-0401"
"02-0716","01-0402"
"02-0716","01-0403"
"02-0666","01-0404"
"02-0841","01-0405"
"02-0741","01-0406"
"02-0699","01-0407"
"02-0804","01-0408"
"02-0782","01-0409"
"02-0741","01-0410"
"02-0655","01-0411"
"02-0716","01-0412"
"02-0655","01-0412"
"02-0655","01-0413"
"02-0655","01-0414"
"02-0879","01-0415"
"02-0879","01-0416"
"02-0666","01-0418"
"02-0758","01-0419"
"02-0735","01-0421"
"02-0520","01-0422"
"02-0758","01-0423"
"02-0879","01-0424"
"02-0755","01-0424"
"02-0824","01-0425"
"02-0879","01-0426"
"02-0841","01-0427"
"02-0651","01-0428"
"02-0718","01-0429"
"02-0889","01-0429"
"02-0879","01-0430"
"02-0879","01-0431"
"02-0755","01-0431"
"02-0666","01-0432"
"02-0793","01-0433"
"02-0879","01-0434"
"02-0879","01-0435"
"02-0835","01-0436"
"02-0680","01-0436"
"02-0680","01-0437"
"02-0735","01-0438"
"02-0382","01-0439"
"02-0867","01-0440"
"02-0699","01-0441"
"02-1029","01-0442"
"02-0879","01-0442"
"02-0879","01-0443"
"02-0741","01-0446"
"02-0852","01-0447"
"02-0651","01-0448"
"02-0835","01-0450"
"02-0815","01-0451"
"02-0841","01-0452"
"02-0732","01-0452"
"02-0655","01-0453"
"02-0835","01-0454"
"02-0655","01-0455"
"02-0879","01-0456"
"02-0655","01-0457"
"02-0655","01-0458"
"02-0835","01-0459"
"02-0841","01-0460"
"02-0863","01-0462"
"02-0516","01-0463"
"02-0732","01-0464"
"02-0841","01-0464"
"02-0685","01-0465"
"02-0722","01-0466"
"02-0481","01-0467"
"02-0802","01-0467"
"02-0999","01-0467"
"02-0802","01-0468"
"02-0841","01-0469"
"02-0840","01-0470"
"02-0841","01-0471"
"02-0773","01-0472"
"02-0879","01-0473"
"02-0884","01-0474"
"02-0884","01-0475"
"02-0841","01-0476"
"02-0841","01-0477"
